Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Queen of Katwe,7.4,2016,PG,Biography,Mira Nair,Madina NalwangaDavid OyelowoLupita Nyong'o,73.0,124.0
Failure,8.0,2017,R,Sci-Fi,James W. Hawk,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
VigasioSexploitation Vol.2,5.4,2011,R,Action,Sebastiano Montresor,EvelineMatteo LucchiChiara Pavoni,66.0,116.3
Ernest Goes to Camp,5.5,1987,PG,Comedy,John R. Cherry III,Jim Varney,24.0,92.0
"Monsters, Inc.",8.1,2001,G,Animation,Pete Docter,Pete DocterJill CultonJeff Pidgeon,79.0,92.0
The Rogue Barrens,7.0,2022,R,Sci-Fi,Thomas Rex,Aidan SherrillColin FrierThomas Rex,66.0,116.3
Joel D. Wynkoop's the Craiglon Incident III Annihilation,5.9,2022,R,Sci-Fi,Joel D. Wynkoop,Thomas AntalekKen Anthony IISteven Atkinson,66.0,116.3
Madagascar: Escape 2 Africa,6.6,2008,PG,Animation,Eric Darnell,Ben Stiller,61.0,89.0
May 18,6.9,2007,PG-13,Drama,Ji-hoon Kim,Kim Sang-kyungLee Yo-wonAhn Sung-ki,66.0,120.0
The Kingmaker,7.6,2019,R,Documentary,Lauren Greenfield,Imelda MarcosEtta RosalesFerdinand Marcos,76.0,101.0
The Road to El Dorado,6.9,2000,PG,Animation,Bibo Bergeron,Kevin Kline,51.0,89.0
Se7en,8.6,1995,R,Crime,David Fincher,Morgan FreemanBrad PittKevin Spacey,65.0,127.0
The Flowers of War,7.5,2011,R,Drama,Yimou Zhang,Christian BaleNi NiXinyi Zhang,46.0,146.0
Ice Age,7.5,2002,PG,Animation,Chris Wedge,Denis Leary,61.0,81.0
The Hiding Place,7.4,1975,PG,Biography,James F. Collier,Corrie Ten BoomJohn SherrillElizabeth Sherrill,66.0,150.0
Kilo Two Bravo,7.1,2014,R,Adventure,Paul Katis,Tom Williams,66.0,108.0
Where the Journey Ends,5.0,2015,R,Action,Ryan Firth,Andriy DemtschukAidan RawnsleyRyan Firth,66.0,116.3
Ulemae 4: Thunder V chuldong,6.2,1987,R,Sci-Fi,Myeong-hwa Jo,Hyung-rae ShimEun-kyeong JeonKim Su-Mi,66.0,116.3
Invincible,7.0,2006,PG,Biography,Ericson Core,Mark WahlbergGreg KinnearElizabeth Banks,63.0,105.0
Muppets from Space,6.2,1999,G,Adventure,Tim Hill,Dave Goelz,53.0,87.0
Saving Bikini Bottom: The Sandy Cheeks Movie,4.1,2024,Not Rated,Animation,Liza Johnson,Carolyn Lawrence,57.1,82.0
Across the Sea of Time,6.4,1995,G,Adventure,Stephen Low,Peter ReznickJohn McDonoughAvi Hoffman,66.0,51.0
Minions: The Rise of Gru,6.5,2022,PG,Animation,Kyle Balda,Steve Carell,56.0,87.0
Kiddy Grade: Truth Dawn,7.0,2007,R,Animation,Keiji Gotô,Keiji GotôMegumi KadonosonoHidefumi Kimura,66.0,116.3
The Trial of the Catonsville Nine,7.2,1972,PG,Drama,Gordon Davidson,Daniel BerriganSaul Levitt,66.0,85.0
E.T. the Extra-Terrestrial,7.9,1982,PG,Adventure,Steven Spielberg,Henry Thomas,92.0,115.0
The Impossible,7.5,2012,PG-13,Drama,J.A. Bayona,Naomi WattsEwan McGregorTom Holland,73.0,114.0
Voyages en têtes étrangères,7.2,2022,R,Drama,Antonio Amaral,Julien DarneyMahamat Amine BenrachidElisabeth Mbaki,66.0,116.3
National Treasure: Book of Secrets,6.5,2007,PG,Action,Jon Turteltaub,Marianne WibberleyCormac WibberleyGregory Poirier,48.0,124.0
Queen Margot,7.4,1994,R,Biography,Patrice Chéreau,Alexandre DumasDanièle ThompsonPatrice Chéreau,66.0,161.0
Amandla!,7.4,2002,PG-13,Documentary,Lee Hirsch,Abdullah IbrahimDuma Ka NdlovuVusi Mahlasela,78.0,108.0
Mirrorman,6.5,1973,R,Action,Ishirô Honda,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Sacrifice,6.2,2010,R,Sci-Fi,Bob Nelson,Brent HeffronShanda Lee MunsonHeather Liebenow,66.0,116.3
Xenobites,6.3,2008,R,Action,Michael Fredianelli,Michael FredianelliKevin GiffinJana Ireton,66.0,116.3
Witness for the Prosecution,8.4,1957,Other,Crime,Billy Wilder,Agatha ChristieBilly WilderHarry Kurnitz,76.0,116.0
Peter Pan's Neverland Nightmare,6.9,2005,R,Adventure,Scott Chambers,Megan PlacitoKit GreenPeter DeSouza-Feighoney,66.0,116.3
Lost & Found,8.2,2016,PG,Documentary,John Choi,Daniel RadcliffeEmma WatsonRupert Grint,66.0,82.0
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87.0,117.0
Spidertron,6.7,2008,R,Action,Carter Soles,Amanda A.Chad AfanadorEmily Afanador,66.0,116.3
New! Improved! Real-life American Fairy Tale,6.1,1993,R,Sci-Fi,Deborah Magocsi,Via LambrosJeff KearneyKate Rodger,66.0,116.3
Sunset,6.3,2018,R,Drama,László Nemes,Juli JakabVlad IvanovEvelin Dobos,65.0,142.0
Robots,6.4,2005,PG,Animation,Chris Wedge,David Lindsay-AbaireLowell GanzBabaloo Mandel,64.0,91.0
United 93,7.6,2006,R,Action,Paul Greengrass,David Alan BascheOlivia ThirlbyLiza Colón-Zayas,90.0,111.0
Come and See,8.4,1985,Not Rated,Drama,Elem Klimov,Ales AdamovichElem Klimov,66.0,142.0
The Imitation Game,8.0,2014,PG-13,Biography,Morten Tyldum,Benedict CumberbatchKeira KnightleyMatthew Goode,71.0,114.0
Five Nights at Freddy's,5.5,2023,PG-13,Horror,Emma Tammi,Scott CawthonSeth CuddebackEmma Tammi,33.0,109.0
9/11 Inside the Pentagon,7.0,2016,PG,Documentary,Sharon Petzold,Daniel RadcliffeEmma WatsonRupert Grint,66.0,54.0
Little Giants,6.4,1994,PG,Comedy,Duwayne Dunham,Rick Moranis,57.1,107.0
Remember the Titans,7.8,2000,PG,Biography,Boaz Yakin,Denzel WashingtonWill PattonWood Harris,48.0,113.0
Colonel Redl,7.4,1985,R,Biography,István Szabó,Klaus Maria BrandauerHans Christian BlechArmin Mueller-Stahl,66.0,144.0
The Great Race,7.2,1965,Other,Action,Blake Edwards,Tony Curtis,71.0,160.0
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jack Black,74.0,92.0
Marmaduke,4.3,2010,PG,Comedy,Tom Dey,Owen Wilson,30.0,87.0
Messiah,5.8,2018,R,Action,D.J. Rivera,Jimmy DempsterAudrey DempsterBenny Bernard Jr.,66.0,116.3
Looney Tunes: Back in Action,5.8,2003,PG,Animation,Joe Dante,Brendan Fraser,64.0,91.0
Restrepo,7.4,2010,R,Documentary,Tim Hetherington,The Men of Battle Company 2nd of the 503rd Infantry Regiment 173rd Airborne Brigade Combat TeamJuan 'Doc RestrepoDan Kearney,85.0,93.0
American Hardcore,7.3,2006,R,Documentary,Paul Rachman,Steven Blush,69.0,100.0
The Witch,7.0,2015,R,Drama,Robert Eggers,Anya Taylor-JoyRalph InesonKate Dickie,84.0,92.0
Spirit: Stallion of the Cimarron,7.2,2002,G,Animation,Kelly Asbury,Matt Damon,52.0,83.0
Split,6.0,1974,R,Drama,Roger Lambert,Mark DraiseySteve ReaderMadeline Aitken,66.0,116.3
The Courier,6.0,2024,R,Crime,Daniel Calparsoro,Arón PiperMaría PedrazaLuis Tosar,66.0,116.3
Nervo Craniano Zero,6.0,2012,R,Comedy,Paulo Biscaia Filho,Guenia LemosUyara TorrenteLeandro Daniel,66.0,116.3
Uchuujin from Outer Space,5.6,2007,R,Comedy,Danny Mann Jr.,Tony AlsamasAlexis AvventoAlex Barclay,66.0,116.3
The Jesus Film,7.1,1979,G,Biography,John Krish,Brian DeaconRivka NeumanAlexander Scourby,66.0,117.0
Scream,7.4,1996,R,Horror,Wes Craven,Neve CampbellCourteney CoxDavid Arquette,66.0,111.0
Saw,7.6,2004,R,Horror,James Wan,Leigh WhannellJames Wan,46.0,103.0
Red Joan,6.4,2018,R,Biography,Trevor Nunn,Judi DenchSophie CooksonStephen Campbell Moore,45.0,101.0
Cyrano de Bergerac,7.5,1990,PG,Comedy,Jean-Paul Rappeneau,Gérard DepardieuAnne BrochetVincent Perez,79.0,137.0
The Bounty,7.0,1984,PG,Adventure,Roger Donaldson,Mel GibsonAnthony HopkinsLaurence Olivier,62.0,132.0
Kuluçka,5.5,2017,R,Fantasy,Mehmet Selçuk Bilge,Nur ErtemDilara TekinStefani Terziyan,66.0,116.3
Haunted Mansion,6.0,2023,PG-13,Comedy,Justin Simien,LaKeith Stanfield,47.0,123.0
Paulie,6.5,1998,PG,Adventure,John Roberts,Gena Rowlands,57.1,91.0
Fall of Lotus: A Star Wars Story,6.3,2018,R,Action,Tarik Hatipoglu,Katie OttenKathleen RussellRaven Hak,66.0,116.3
The New Adventures of Pippi Longstocking,5.8,1988,G,Adventure,Ken Annakin,Tami Erin,57.1,100.0
Monster,7.3,2003,R,Biography,Patty Jenkins,Charlize TheronChristina RicciBruce Dern,74.0,109.0
Firstborn,6.1,2003,R,Action,Omar McClinton,J.R. AnsworthAlan BottomsCharles Diggs,66.0,116.3
It's a Wonderful Life,8.6,1946,PG,Drama,Frank Capra,James Stewart,89.0,130.0
SANE in 1974,7.8,2013,R,Action,Ivan Pavletic,Ivan PavleticEd Portoghese,66.0,60.0
Woman in Gold,7.3,2015,PG-13,Biography,Simon Curtis,Helen MirrenRyan ReynoldsDaniel Brühl,51.0,109.0
Tora! Tora! Tora!,7.5,1970,G,Action,Richard Fleischer,Richard FleischerKinji FukasakuToshio Masuda,46.0,144.0
Cloak & Dagger,6.6,1984,PG,Action,Richard Franklin,Tom HollandCornell WoolrichNancy Dowd,64.0,101.0
The Grandmaster,6.6,2013,PG-13,Action,Kar-Wai Wong,Kar-Wai WongJingzhi ZouHaofeng Xu,73.0,130.0
Special Section,7.6,1975,PG,Drama,Costa-Gavras,Louis SeignerRoland BertinMichael Lonsdale,66.0,110.0
The Sparks Brothers,7.7,2021,R,Documentary,Edgar Wright,Ron MaelRussell MaelBeck,80.0,140.0
Bijuli Machine,8.3,2016,R,Comedy,Navin Awal,Abhishek SubediJeewan AdhikaryJiban Bhattarai,66.0,116.3
Dangerous Beauty,7.1,1998,R,Biography,Marshall Herskovitz,Catherine McCormackRufus SewellOliver Platt,66.0,111.0
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90.0,120.0
Beautiful Boy,7.4,2018,R,Biography,Felix van Groeningen,Luke DaviesFelix van GroeningenDavid Sheff,62.0,120.0
Horns,6.4,2013,R,Comedy,Alexandre Aja,Daniel RadcliffeJuno TempleMax Minghella,46.0,120.0
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
Time Bandits,6.9,1981,PG,Adventure,Terry Gilliam,Sean ConneryShelley DuvallJohn Cleese,79.0,110.0
Minushi,7.2,2007,Not Rated,Animation,Tyler Gibb,Jay DonaldsonTyler GibbTara Lutchman,66.0,94.0
The Kill Team,6.0,2019,R,Action,Dan Krauss,Nat WolffAlexander SkarsgårdAdam Long,60.0,87.0
Places,6.6,2007,R,Comedy,Isaac Zepel Yeshurun,Mauricio BustamanteShelley DagueKelly Grace,66.0,116.3
Sister Act,6.5,1992,PG,Comedy,Emile Ardolino,Whoopi Goldberg,51.0,100.0
Ghost,7.1,1990,PG-13,Drama,Jerry Zucker,Patrick SwayzeDemi MooreWhoopi Goldberg,52.0,127.0
Flamin' Hot,6.7,2023,PG-13,Biography,Eva Longoria,Lewis ColickLinda Yvette ChávezRichard Montanez,58.0,99.0
Der Mann mit dem Objektiv,6.4,1961,R,Sci-Fi,Frank Vogel,Rolf LudwigChristine LaszarHelga Labudda,66.0,116.3
The Hornet's Nest,6.7,2014,R,Documentary,David Salzberg,Frank AdamskiOfren ArrechagaEd Bankston,61.0,93.0
The Nativity Story,6.8,2006,PG,Adventure,Catherine Hardwicke,Keisha Castle-HughesShohreh AghdashlooOscar Isaac,52.0,101.0
Secretariat,7.2,2010,PG,Biography,Randall Wallace,Diane Lane,61.0,123.0
Escape from Pretoria,6.8,2020,PG-13,Biography,Francis Annan,Francis AnnanL.H. AdamsTim Jenkin,56.0,106.0
The Conjuring,7.5,2013,R,Horror,James Wan,Patrick WilsonVera FarmigaRon Livingston,68.0,112.0
Deadpool,8.0,2016,R,Action,Tim Miller,Ryan ReynoldsMorena BaccarinT.J. Miller,65.0,108.0
The People's Story,9.5,2000,PG,Documentary,Steven Scaffidi,Daniel RadcliffeEmma WatsonRupert Grint,66.0,56.0
Flushed Away,6.6,2006,PG,Animation,David Bowers,Hugh Jackman,74.0,85.0
Sight,7.2,2023,PG-13,Biography,Andrew Hyatt,Terry ChenGreg KinnearNatasha Mumba,42.0,103.0
Redshift,6.9,2013,R,Drama,Roch-Denis Gagnon,Adrian Bobb,66.0,116.3
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani,66.9,92.0
Transference,6.0,2017,R,Sci-Fi,Amy Tsang,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
"Goodbye, Little Betty",6.2,2013,R,Drama,Ronny Carlsson,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Brave,7.1,2012,PG,Animation,Mark Andrews,Brenda ChapmanMark AndrewsSteve Purcell,69.0,93.0
The Gambler,6.0,2014,R,Crime,Rupert Wyatt,Mark WahlbergJessica LangeJohn Goodman,55.0,111.0
Eunhaeseo on Byeolddong wangja,7.5,1987,R,Action,Do-won Seok,Geon-ju LeeYong-shik LeeHyeong-jung Kim,66.0,116.3
Dr. Otto Dekein's Original Design,6.7,2009,R,Comedy,Dean Sullivan Adams,Ryan DaviesDanny PerezJoe Raspolich,66.0,116.3
The Willoughbys,6.4,2020,PG,Animation,Kris Pearn,Will Forte,68.0,90.0
The Salt of the Earth,8.4,2014,PG-13,Documentary,Juliano Ribeiro Salgado,Sebastião SalgadoWim WendersLélia Wanick Salgado,83.0,110.0
Fruitvale Station,7.5,2013,R,Biography,Ryan Coogler,Michael B. JordanMelonie DiazOctavia Spencer,85.0,85.0
Escape from Chernobourg,5.6,1999,Not Rated,Adventure,Michael A. Martinez,David WoodGeorge N. ThompsonBrandon Baca,66.0,75.0
Bostrom,5.7,2018,R,Action,Nick Borelli,Nick BorelliMiriam CubsteadSammy Haines,66.0,116.3
Brain on Fire,6.6,2016,PG-13,Biography,Gerard Barrett,Chloë Grace MoretzThomas MannRichard Armitage,34.0,88.0
Once Upon a Forest,6.4,1993,G,Animation,Charles Grosvenor,Michael Crawford,57.1,71.0
The Better Angels,6.0,2014,PG,Biography,A.J. Edwards,Jason ClarkeDiane KrugerBrit Marling,53.0,95.0
Slaveworld,7.2,1995,R,Sci-Fi,Duane Soebagio,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
This Boy's Life,7.3,1993,R,Biography,Michael Caton-Jones,Robert De NiroLeonardo DiCaprioEllen Barkin,60.0,115.0
Tanba Tetsurô no daireikai 2: Shindara odoroita!!,5.0,1990,R,Adventure,Mitsunori Hattori,Kana MizotaTetsurô Tanba,66.0,116.3
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47.0,115.0
Becket,7.8,1964,PG-13,Biography,Peter Glenville,Richard BurtonPeter O'TooleJohn Gielgud,68.0,148.0
The Boyhood of John Muir,7.1,1998,G,Drama,Lawrence R. Hott,Joanne BettColin BruceKen Drury,66.0,78.0
Project Breakwater,7.0,2012,R,Action,Brian Clement,Matthew Devon HemansLuke MartyRobert Nolan,66.0,116.3
Inside Deep Throat,6.7,2005,NC-17,Documentary,Fenton Bailey,Linda LovelaceHarry ReemsDennis Hopper,64.0,89.0
The Report,7.2,2019,R,Biography,Scott Z. Burns,Adam DriverAnnette BeningJon Hamm,66.0,119.0
Mrs. Brown,7.2,1997,PG,Biography,John Madden,Judi DenchBilly ConnollyGeoffrey Palmer,71.0,101.0
Puss in Boots: The Last Wish,7.8,2022,PG,Animation,Joel Crawford,Paul FisherTommy SwerdlowTom Wheeler,73.0,102.0
Cinema Paradiso,8.5,1988,PG,Drama,Giuseppe Tornatore,Giuseppe TornatoreVanna Paoli,80.0,174.0
Year One,5.0,2006,R,Action,Martin Munthe,Johan SchybergVladimir DikanskiGeorgi Staykov,66.0,116.3
Edward II,6.8,1991,R,Drama,Derek Jarman,Christopher MarloweDerek JarmanStephen McBride,66.0,87.0
Burke & Wills,6.3,1985,PG-13,Adventure,Graeme Clifford,Jack ThompsonNigel HaversGreta Scacchi,66.0,140.0
Fright Night,6.4,2011,R,Action,Craig Gillespie,Marti NoxonTom Holland,64.0,106.0
La Vie En Rose,7.6,2007,PG-13,Biography,Olivier Dahan,Marion CotillardSylvie TestudPascal Greggory,66.0,140.0
Doraemon Nobita no Takarajima,6.6,2018,PG,Animation,Kazuaki Imai,Wasabi Mizuta,57.1,100.0
Rob Roy,6.9,1995,R,Adventure,Michael Caton-Jones,Liam NeesonJessica LangeJohn Hurt,55.0,139.0
Lost Einstein,6.2,2018,R,Drama,Pannu Gande,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Transformers: The Movie,7.2,1986,PG,Animation,Nelson Shin,Orson Welles,43.0,84.0
The Best of Enemies,7.3,2019,PG-13,Biography,Robin Bissell,Taraji P. HensonSam RockwellBabou Ceesay,49.0,133.0
Annihilation,6.8,2018,R,Adventure,Alex Garland,Natalie PortmanJennifer Jason LeighTessa Thompson,79.0,115.0
Funny Lady,6.2,1975,PG,Biography,Herbert Ross,Jay Presson AllenArnold Schulman,66.0,136.0
Collision Moon,6.9,2021,R,Sci-Fi,Brian Nowak,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Breakthrough,6.3,2019,PG,Biography,Roxann Dawson,Marcel RuizTopher GraceSarah Constible,46.0,116.0
The Cove,8.4,2009,PG-13,Documentary,Louie Psihoyos,Richard O'BarryLouie PsihoyosHardy Jones,84.0,92.0
We Have a Ghost,6.1,2023,PG-13,Adventure,Christopher Landon,Jahi Di'Allo Winston,53.0,126.0
Tall Girl 2,4.7,2022,Other,Comedy,Emily Ting,Ava Michelle,35.0,97.0
Alice in Wonderland,6.4,2010,PG,Adventure,Tim Burton,Mia WasikowskaJohnny DeppHelena Bonham Carter,53.0,108.0
Selma,7.5,2014,PG-13,Biography,Ava DuVernay,David OyelowoCarmen EjogoOprah Winfrey,79.0,128.0
WALL·E,8.4,2008,G,Animation,Andrew Stanton,Andrew StantonPete DocterJim Reardon,95.0,98.0
The Mauritanian,7.5,2021,R,Biography,Kevin Macdonald,Michael BronnerRory HainesSohrab Noshirvani,53.0,129.0
Astro Boy,6.2,2009,PG,Animation,David Bowers,Freddie Highmore,53.0,94.0
"Vixens of Virtue, Vixens of Vice",7.2,2010,R,Sci-Fi,Rob Longo,Sarah BurnsGene CahillChelsea Clark,66.0,116.3
The Smurfs,5.4,2011,PG,Animation,Raja Gosnell,Hank Azaria,30.0,103.0
Hook,6.8,1991,PG,Adventure,Steven Spielberg,Dustin Hoffman,52.0,142.0
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54.0,157.0
Shrek the Third,6.1,2007,PG,Animation,Chris Miller,Mike Myers,58.0,93.0
Anatahan,7.0,1953,PG,Drama,Josef von Sternberg,Michiro MaruyamaTatsuo AsanoJosef von Sternberg,66.0,91.0
The Lion of the Desert,8.2,1980,PG,Biography,Moustapha Akkad,Anthony QuinnOliver ReedRod Steiger,66.0,173.0
The Peanut Butter Solution,6.0,1985,PG,Adventure,Michael Rubbo,Mathew Mackay,57.1,93.0
Born Free,7.2,1966,PG,Adventure,James Hill,Virginia McKennaBill TraversGeoffrey Keen,66.0,95.0
The Game Plan,6.4,2007,PG,Comedy,Andy Fickman,Dwayne Johnson,44.0,110.0
Ice Age: Continental Drift,6.5,2012,PG,Animation,Steve Martino,Ray Romano,49.0,88.0
The Departed,8.5,2006,R,Crime,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,85.0,151.0
12th Fail,8.9,2023,R,Biography,Vidhu Vinod Chopra,Vidhu Vinod ChopraJaskunwar KohliAnurag Pathak,66.0,116.3
Inu-oh,7.1,2021,PG-13,Animation,Masaaki Yuasa,Avu-chanMirai MoriyamaTasuku Emoto,77.0,98.0
Heaven Is for Real,5.8,2014,PG,Biography,Randall Wallace,Greg Kinnear,47.0,99.0
3086: Robot Like a Boss,6.8,2012,R,Animation,Mark Holmberg,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Fair Game,6.8,2010,PG-13,Biography,Doug Liman,Jez ButterworthJohn-Henry ButterworthJoseph Wilson,69.0,108.0
Shock and Awe,6.4,2017,R,Biography,Rob Reiner,Woody HarrelsonJames MarsdenRob Reiner,47.0,90.0
Wuthering Heights,6.6,1992,PG,Drama,Peter Kosminsky,Juliette BinocheRalph FiennesJanet McTeer,66.0,105.0
Marley,7.9,2012,PG-13,Documentary,Kevin Macdonald,Bob MarleyZiggy MarleyRita Marley,82.0,144.0
Dunkirk,7.8,2017,PG-13,Action,Christopher Nolan,Fionn WhiteheadBarry KeoghanMark Rylance,94.0,106.0
PAW Patrol: The Mighty Movie,5.9,2023,PG,Animation,Cal Brunker,Dan Duran,49.0,88.0
The Treacherous,6.0,2015,Not Rated,Crime,Kyu-dong Min,Ju Ji-hoonKim Kang-wooLim Ji-yeon,66.0,133.0
Mary and the Witch's Flower,6.8,2017,PG,Animation,Hiromasa Yonebayashi,Hana Sugisaki,74.0,103.0
Smurfs: The Lost Village,6.0,2017,PG,Animation,Kelly Asbury,Demi Lovato,40.0,90.0
Pankow '95,6.5,1983,R,Sci-Fi,Gábor Altorjay,Udo KierChristine KaufmannDieter Thomas Heck,66.0,116.3
Imaginary,4.7,2024,PG-13,Horror,Jeff Wadlow,DeWanda WiseTaegen BurnsPyper Braun,34.0,104.0
Anora,7.9,2024,R,Comedy,Sean Baker,Mikey MadisonMark EydelshteynYura Borisov,89.0,116.3
1776,7.6,1972,PG,Drama,Peter H. Hunt,Peter StoneSherman Edwards,66.0,141.0
Ned Kelly,6.4,2003,R,Action,Gregor Jordan,Heath LedgerOrlando BloomGeoffrey Rush,56.0,110.0
Tuck Everlasting,6.6,2002,PG,Drama,Jay Russell,Alexis Bledel,66.0,90.0
The Last Emperor,7.7,1987,PG-13,Biography,Bernardo Bertolucci,Enzo UngariMark PeploeBernardo Bertolucci,76.0,163.0
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad Garrett,96.0,111.0
No Time to Die,7.3,2021,PG-13,Action,Cary Joji Fukunaga,Neal PurvisRobert WadeCary Joji Fukunaga,68.0,163.0
Priscilla,6.5,2023,R,Biography,Sofia Coppola,Cailee SpaenyJacob ElordiAri Cohen,79.0,113.0
A Christmas Carol,6.8,2009,PG,Animation,Robert Zemeckis,Jim Carrey,55.0,96.0
The Lion King,8.5,1994,G,Animation,Roger Allers,Matthew Broderick,88.0,88.0
Thriller Theater!,7.8,2011,Not Rated,Comedy,Michael S. Olson,Steven Warren HillMichael S. OlsonNick Seidler,66.0,99.0
The Gangster,6.3,2012,R,Action,Kome Kongkiat Komesiri,Krisada Sukosol ClappSomchai KemgladSakarin Suthamsamai,66.0,114.0
Hobo with a Trash Can,5.0,2015,R,Action,Mark Charles Adams,Mark Charles AdamsTonjia AtomicLloyd Emmons,66.0,116.3
The Favourite,7.5,2018,R,Biography,Yorgos Lanthimos,Olivia ColmanEmma StoneRachel Weisz,91.0,119.0
The Fall Guy,7.1,2024,PG-13,Action,David Leitch,Ryan GoslingEmily BluntAaron Taylor-Johnson,73.0,126.0
American Native,6.9,2014,G,Documentary,Steven Oritt,Amanda AndersonJack AndersonSonya Anderson,66.0,83.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany Howard,64.0,93.0
"Tomorrow, When the War Began",6.1,2010,R,Action,Stuart Beattie,Caitlin StaseyRachel Hurd-WoodLincoln Lewis,54.0,104.0
Una movida chueca,7.0,1956,R,Comedy,Rogelio A. González,Fidel Ángel EspinoCarlos OrellanaManuel Tamés hijo,66.0,116.3
Operation Finale,6.6,2018,PG-13,Biography,Chris Weitz,Oscar IsaacBen KingsleyMélanie Laurent,58.0,122.0
A Hidden Life,7.4,2019,PG-13,Biography,Terrence Malick,August DiehlValerie PachnerMaria Simon,80.0,174.0
Almost Human,6.2,2011,R,Horror,Abe Vilchez-Moran,Kera O'BryonCoby BattyAshley Myers,66.0,116.3
Limen [Omission],7.6,2012,R,Crime,Emiliano Dante,Fabrizio CrociFrancesca ZavagliaRoberto Lattanzio,66.0,116.3
Control,7.6,2007,R,Biography,Anton Corbijn,Sam RileySamantha MortonCraig Parkinson,78.0,122.0
Cinderella,4.4,2021,PG,Comedy,Kay Cannon,Camila Cabello,41.0,112.0
The Electrical Life of Louis Wain,6.8,2021,PG-13,Biography,Will Sharpe,Simon StephensonWill Sharpe,63.0,111.0
127 Hours,7.5,2010,R,Biography,Danny Boyle,James FrancoAmber TamblynKate Mara,82.0,94.0
Akce Bororo,6.8,1973,R,Sci-Fi,Otakar Fuka,Svatopluk MatyásBozidara TurzonovováKarel Augusta,66.0,116.3
O fylakas,8.4,2020,R,Drama,Yiannis Stravolaimos,Marina PantelakiElena ThomopoulouKostis Savvidakis,66.0,116.3
Toy Story,8.3,1995,G,Animation,John Lasseter,John LasseterPete DocterAndrew Stanton,96.0,81.0
Älgigen,6.1,1999,R,Adventure,Pierre Toresson,Pierre ToressonJoel VemdalLeo Jacobsson,66.0,116.3
Taken 3,6.0,2014,PG-13,Action,Olivier Megaton,Luc BessonRobert Mark Kamen,26.0,108.0
The Iron Lady,6.4,2011,PG-13,Biography,Phyllida Lloyd,Meryl StreepJim BroadbentRichard E. Grant,52.0,105.0
Midnight Express,7.5,1978,R,Biography,Alan Parker,Brad DavisIrene MiracleBo Hopkins,59.0,121.0
Nine Lives,5.3,2016,PG,Comedy,Barry Sonnenfeld,Kevin Spacey,11.0,87.0
Race,7.1,2016,PG-13,Biography,Stephen Hopkins,Stephan JamesJason SudeikisEli Goree,56.0,134.0
The Zone of Interest,7.4,2023,PG-13,Drama,Jonathan Glazer,Christian FriedelSandra HüllerJohann Karthaus,92.0,105.0
Harry Potter and the Half-Blood Prince,7.6,2009,PG,Action,David Yates,Daniel Radcliffe,78.0,153.0
Truth,6.8,2015,R,Biography,James Vanderbilt,Cate BlanchettRobert RedfordDennis Quaid,66.0,125.0
Million Dollar Arm,7.0,2014,PG,Biography,Craig Gillespie,Jon HammAasif MandviAlan Arkin,56.0,124.0
"Argentina, 1985",7.6,2022,R,Biography,Santiago Mitre,Ricardo DarínGina MastronicolaFrancisco Bertín,78.0,140.0
Sugar Cane Alley,7.3,1983,PG,Drama,Euzhan Palcy,Garry CadenatDarling LégitimusDouta Seck,66.0,103.0
Benediction,6.6,2021,PG-13,Biography,Terence Davies,Jack LowdenThom AshleyOrlando Jopling,81.0,137.0
The Seven Five,7.6,2014,R,Documentary,Tiller Russell,Mike DowdKen EurellWalter Yurkiw,69.0,104.0
The Glorias,6.0,2020,R,Biography,Julie Taymor,Julianne MooreAlicia VikanderJanelle Monáe,58.0,147.0
